"","ID","Review.Date","Location","Hotel.Restaurant.name","Review"
"15","rn565616459","Reviewed March 10, 2018 "," Rawai","Green Tamarind Kitchen","Wow... The burgers are amazing...you will not be disappointed. Highly recommended... Thanks TripAdvisor"
"16","rn564979161","Reviewed March 6, 2018 "," Rawai","Green Tamarind Kitchen","Visited Green Tamarind twice, once for burgers and once for Thai. Actually it was the yummiest Thai we have had in this area and massive serves and best burgers we’ve had in a long time. Must visit."
"17","rn564849976","Reviewed March 6, 2018 "," Rawai","Green Tamarind Kitchen","One of the best burgers I have ever eaten. Bacon Cheeseburger amazing! Crispy bacon, requested medium rare. Boys attempted the double trouble. Delicious!"
"18","rn564170803","Reviewed March 3, 2018 "," Rawai","Green Tamarind Kitchen","Having lived in phuket for some time, you often crave 'farang' food. One day we stumbled across green tamarind and never looked back. My husband raves that they are the best burgers in town and if it's ever his night to choose where we eat...More"
"19","rn564083593","Reviewed March 3, 2018 "," Rawai","Green Tamarind Kitchen","The burgers were so delicious and big. We went here since we saw all good reviews and it was amazing."
"20","rn563900919","Reviewed March 3, 2018 "," Rawai","Green Tamarind Kitchen","Burgers are outstanding. Can recommend blue cheese burger. Place is crowded. There was a line, so consider this before going."
"21","rn563029756","Reviewed February 26, 2018 "," Rawai","Green Tamarind Kitchen","A bit over a week into a Thailand vacation and we had a craving for cheeseburgers. Fortunately Green Tamarind Kitchen was a 10 minute cab ride from our place in Phuket, so we went over to check it out and were not disappointed. First of...More"
"22","rn561956553","Reviewed February 21, 2018 "," Rawai","Green Tamarind Kitchen","This place is perfect for burger lovers, meat is good quality, vegetables, eggs and bacon are fresh and prepared just after you order."
"23","rn560969716","Reviewed February 16, 2018 "," Rawai","Green Tamarind Kitchen","I have looking for two weeks. Can not find. I heard they have a great hamburger. Give me a land mark please"
"24","rn560233986","Reviewed February 13, 2018 "," Rawai","Green Tamarind Kitchen","The burgers are very tasty! It is a little place with no more than ten tables. Nice staff and good prices. I recommend!"
"25","rn559604320","Reviewed February 10, 2018 "," Rawai","Green Tamarind Kitchen","Having heard many good things about their burgers I finally decided to give it try. Very unassuming place we had a little time to wait but hey it was worth it.
I had the blue cheese with bacon burger, absolutely delicious, ordered it medium well...More"
"26","rn558742043","Reviewed February 5, 2018 "," Rawai","Green Tamarind Kitchen","I've been in Asia for 7 years and have had better burgers. I can't say much how it compares to other Thai burger joints, but it was by no means horrible. They have a mix of Thai and Western food. The papaya salad was nice...More"
"27","rn558554300","Reviewed February 5, 2018 "," Rawai","Green Tamarind Kitchen","Despite initial impression of the location, this place truly deserves its reputation because of the friendly staff and the quality of the burgers. My wife had the cheeseburger and French fries, I had the bacon cheeseburger and French fries. Highest quality ingredients, beautifully presented with...More"
"28","rn558473846","Reviewed February 4, 2018 "," Rawai","Green Tamarind Kitchen","Very good burgers, and usually i dont like burgers ;) i thougt this one was very good and so did all my friends. Also very big so its almost garenteed u will be full after just one."
"29","rn557886509","Reviewed February 2, 2018 "," Rawai","Green Tamarind Kitchen","Tasty burgers with a looooot of bacon :-) they also make thai food but you would be foolish not to try their burgers if you are here! Sometimes you Will have to stand in Line - the place is very Well visited"
"30","rn556652457","Reviewed January 27, 2018 "," Rawai","Green Tamarind Kitchen","You should try it! This is very small and nice place with kind staff and perfect burgers! We ordered bacon blue cheese burger and it was amazing, by the way - democratic price-list... :)"
"31","rn555385817","Reviewed January 22, 2018 "," Rawai","Green Tamarind Kitchen","The staff was friendly and the burgers where really good! I would absolutely recommend this place :)"
"32","rn554902524","Reviewed January 19, 2018 "," Rawai","Green Tamarind Kitchen","Amazing burgers with the patty cooked to your liking, rare, medium or well. The ingredients are fresh and service top notch. We will go again and again.
Average price 250 baht per burger."
"33","rn552449371","Reviewed January 8, 2018 "," Rawai","Green Tamarind Kitchen","Burgers are awesome. Hawaiian burger - one of the best ever, no kidding. Open kitchen and friendly staff. Place is very popular, can be crowdy, no reservations possible."
"34","rn552374747","Reviewed January 7, 2018 "," Rawai","Green Tamarind Kitchen","I’ve stayed in Phuket for a few weeks now & just the other week I claimed Le Brookline in Patong was the best burger in Phuket (yes I like my burgers) I think I may now have to take that back? If you like burgers...More"
"35","rn552177386","Reviewed January 7, 2018 "," Rawai","Green Tamarind Kitchen","I have read the reviews before i visited this place. Reviews are accurate.
Chiefs are creating the burgers in an open kitchen.
Burger is super.
Meat has been grilled well, cheese melts on meat, salad feels fresh and bread is warm."
"36","rn550379757","Reviewed December 31, 2017 "," Rawai","Green Tamarind Kitchen","Amazing burgers. So much cheese...so much bacon...
I fancy myself a global burger ace. I put these burgers in the top 5, no joke, in the world. All cooked on a $10 grill in the back alley of Phuket. Beauty defined."
"37","rn550176217","Reviewed December 30, 2017 "," Rawai","Green Tamarind Kitchen","This is a very casual and popular place that serves awesome burgers! You can’t beat the quality of the burgers nor the value for your money. Great service. Shoestring French fries or onion rings were extras. I had the Hawaiian burger and I have never...More"
"38","rn550108007","Reviewed December 29, 2017 "," Rawai","Green Tamarind Kitchen","Green Tamarind was on my list due to the glowing reviews and my love of burgers. This small craft burger kitchen lives up to the hype and then some. You notice the charbroiler right off the bat and the wafting grilled meats practically pulled me...More"
"39","rn549691574","Reviewed December 28, 2017 "," Rawai","Green Tamarind Kitchen","Love this place. Great choice of tasty hamburgers. Godo meat. Friendly service. Cannot wait to have more."
"40","rn549663983","Reviewed December 28, 2017 "," Rawai","Green Tamarind Kitchen","Great Burgers, on a par with/better than anywhere in the US/UK. Not cheap by Phuket standards, but not cheap ingredients, and portions v generous. My blue cheese burger was superb & perfectly done, wife’s chicken burger spot on too. 3 of us ate really well...More"
"41","rn547558714","Reviewed December 16, 2017 "," Rawai","Green Tamarind Kitchen","Well done guys met a friend here from the USA the home of burgers & he agrees with me not the best burger in Phuket
Not even Thailand
But Asia
Some of the staff are a bit miserable & sure it’s not fine dining but...More"
"42","rn547172051","Reviewed December 14, 2017 "," Rawai","Green Tamarind Kitchen","Really quality burgers! Could say one of the best I have ever eaten. The owner has even his own butchery to quarantee guality beef! Thank you again!!"
"43","rn546897390","Reviewed December 12, 2017 "," Rawai","Green Tamarind Kitchen","I'm originally from Texas - so I know what anything beef related should taste like. (If you're in Austin, Texas, check out Burger-Tex on Guadalupe..
Meat is pre-weighted at around 180oz and cooked to temp. Medium is actually cooked medium! Meat-bread ratio is perfect, Cheese...More"
"44","rn546267095","Reviewed December 9, 2017 "," Rawai","Green Tamarind Kitchen","We were staying only a 5 minute walk from Green Tamarind and as a result came back 3 times. The burgers are outstanding (albeit extremely messy!) and they also serve pretty top notch Thai dishes too. Prices for burgers are a bit high, but worth...More"
"45","rn544304495","Reviewed November 30, 2017 "," Rawai","Green Tamarind Kitchen","I should preface this review by stating that I don't usually eat meat and that I have not eaten a burger in years. Based on reviews, I decided to give it a try and came away reasonably impressed. I got the Hawaii burger and it...More"
"46","rn543776061","Reviewed November 28, 2017 "," Rawai","Green Tamarind Kitchen","Wow. Wow wow wow. Amazing. Best chicken burger I've ever had in my life. And I like burgers. My friends adored their beef burgers. That was a spiritual experience. In the words of my friend: ""that was so good I would give them my first...More"
"47","rn542541335","Reviewed November 21, 2017 "," Rawai","Green Tamarind Kitchen","Double trouble burger. Massive and awesome. Get the fries and onion rings if you think you can handle it.
Not the easiest place to find but its a gem. Nice staff and the place is a little on the small side but it doesn't matter....More"
"48","rn541386427","Reviewed November 16, 2017 "," Rawai","Green Tamarind Kitchen","Starving on my way back from a hard work out in the gym in heavy rain looking for some chicken satay that i could not find anywhere i passed this burger shop i had already read the reviews on TripAdvisor and gave it a shot...More"
"49","rn538506422","Reviewed November 5, 2017 "," Rawai","Green Tamarind Kitchen","Great place to eat Thai and ""normal West"" food. My friend eat burgers and I whose eating noodles. Wos good."
"50","rn537176207","Reviewed October 30, 2017 "," Rawai","Green Tamarind Kitchen","Best burgers on Phuket. Big size, delicious and not too oily.
On the photo is Hawaii burger with pineapple. Perfect!"
"51","rn534199642","Reviewed October 18, 2017 "," Rawai","Green Tamarind Kitchen","We live just down the road from this small but always busy restaurant so we go there quite often. I always have the bacon swiss cheese burger, medium rare. The bacon is super crispy and the buns nicely toasted and the burger always comes just...More"
"52","rn532748046","Reviewed October 13, 2017 "," Rawai","Green Tamarind Kitchen","A few friends and I went for dinner here. We all had burgers and they were absolutely amazing. Huge portions- I couldn’t finish mine. The crispy bacon is to die for <f0><U+009F><U+008D><U+0094><f0><U+009F><U+0098><U+008A><f0><U+009F><U+0098><U+008A>"
"53","rn529555239","Reviewed October 3, 2017 "," Rawai","Green Tamarind Kitchen","This is literally the best burger I have ever eaten. I raved about it to my two boys the next night I said to one of them let's get one of these burgers. We got take away which they do got home started eating and...More"
"54","rn527967597","Reviewed September 27, 2017 "," Rawai","Green Tamarind Kitchen","Visited here this week and it was amazing. Nice concise menu. 3 of us tried different burgers and sides and they were amazing. Finger licking<f0><U+009F><U+0091><U+008D><f0><U+009F><U+008F><U+00BB>service was excellent on a very wet night. Great value for money . Big thumbs up. If you are around Rawai,...More"
"55","rn526711999","Reviewed September 23, 2017 "," Rawai","Green Tamarind Kitchen","Checked this place out on the strength of the reviews and we weren't disappointed. The burgers were juicy and tasty, and were cooked medium as ordered. Good atmosphere and a friendly welcome as well. We'll be visiting here again before the end of our holiday."
"56","rn525594482","Reviewed September 18, 2017 "," Rawai","Green Tamarind Kitchen","So trip advisor has so many reviews saying that this place makes the BEST burgers in the world.
After eating my burger ( and collating the rest of our parties thoughts ) I whole heartedly agree. This place makes increadible burgers. !!
Their bacon is...More"
"57","rn524716802","Reviewed September 15, 2017 "," Rawai","Green Tamarind Kitchen","This place is voted number one in Rawai and I have been there a few times and the burgers are good . However to say they are the worlds best burgers is a big exaggeration when Havanas Wagyu burger up the road is better in...More"
"58","rn524544995","Reviewed September 15, 2017 "," Rawai","Green Tamarind Kitchen","Massive, awesome burgers. You wont leave hungry. Great choice, good price. the best burgers ive had easily"
"59","rn521595085","Reviewed September 5, 2017 "," Rawai","Green Tamarind Kitchen","The Best Burgers & Thai food in Phuket. Always fresh with great service and nice smiles. Very busy little place in high season..Well worth a visit."
"60","rn519316444","Reviewed August 30, 2017 "," Rawai","Green Tamarind Kitchen","After eating too much thai food you need some fries and hamburger and this is the best place to end this missing:) blue chees bacon is my favorite. Order french fries rather than onion rings"
"61","rn518820624","Reviewed August 29, 2017 "," Rawai","Green Tamarind Kitchen","We walked here from our villa at the beginning of our holiday and said we would return at least once more before coming home as the burgers were the best we'd ever had!
The staff were really friendly and spoke great english too.
Cantt recommend...More"
"62","rn517639819","Reviewed August 26, 2017 "," Rawai","Green Tamarind Kitchen","Still the best burgers not just locally but anywhere I've been! Simply amazing and huge! Reasonable price too, kids had plain burgers which is a bit heart breaking as the added bits really make the burger! Always busy so book ahead or turn up before...More"
"63","rn513170398","Reviewed August 15, 2017 "," Rawai","Green Tamarind Kitchen","My sister and I craved western food after two weeks of thai cuisine. Do not get me wrong: we absolutely love Asian food but tonight we thought burger would be nice. Due tue the good reviews of TripAdvisor we went to geeen tamarind kitchen. We...More"
"64","rn512023580","Reviewed August 12, 2017 "," Rawai","Green Tamarind Kitchen","As a regular customer the past three years this review is a long overdue. If you are after a burger there's no place like gt. Always warm welcome and quick service. First class burgers at good price."
"65","rn511592010","Reviewed August 11, 2017 "," Rawai","Green Tamarind Kitchen","We went at green tamarind for my birthday burger after a long and painful diet at phuket fit and we were not disapointed. We had the bacon blue and the aussie burger cooked medium rare as requested. Both burgers were delicious. Friendly waitresses in no...More"
"66","rn510495640","Reviewed August 9, 2017 "," Rawai","Green Tamarind Kitchen","The burgers are not good. The fries are worse. I didn't like the burger sauce and asked for mine without it and got an eye roll from the burger cook.More"
"67","rn506747572","Reviewed July 29, 2017 "," Rawai","Green Tamarind Kitchen","This place produces truely the best burgers that we've ever had, let alone in Phuket! We got the blue cheese and bacon burger and the veggie burger, both were delicious. The beef patty was cooked exactly as requested, and the fries and onion rings were...More"
"68","rn506725689","Reviewed July 29, 2017 "," Rawai","Green Tamarind Kitchen","My oldest boy and I had some seriously big burgers after a day of scuba diving!
The staff are friendly and portions are very generous! Come with a big appetite for this place. Not the place to eat if watching your cholesterol or calorie count!...More"
"69","rn506142628","Reviewed July 27, 2017 "," Rawai","Green Tamarind Kitchen","Amazing burgers and a Thai food menu for those wanting tho stick with the local cuisine. Highly recommend trying this wonderful place."
"70","rn505346650","Reviewed July 24, 2017 "," Rawai","Green Tamarind Kitchen","OK. I looooove Thai food and the south of Phuket has amazing little restaurants everywhere. But once in a while, you are craving for a home made burger. Go ahead and try this out! Ludovic, the French chef will charcoal your burger just the way...More"
"71","rn504446334","Reviewed July 22, 2017 "," Rawai","Green Tamarind Kitchen","This is a realy good burger restaurant. Just when you need something else for the day ! Good burgers and good fun !"
"72","rn502772147","Reviewed July 17, 2017 "," Rawai","Green Tamarind Kitchen","I have been in Thailand for over four years, and this restaurant is definetly the best burguer I've tried here. Also the price is cheap."
"73","rn502698062","Reviewed July 16, 2017 "," Rawai","Green Tamarind Kitchen","Undoubtedly the best burger in Rawai and district and not for the faint-hearted - quantity & quality a rare combination. Difficult to find and there might be a bit of a line in front of you but persevere it's worth it."
"74","rn501076008","Reviewed July 11, 2017 "," Rawai","Green Tamarind Kitchen","Would probably not find it or go to eat there If it did not was from good feedback on this side.
Close to our hotel and a friendly feeling.
It was My first burger in phuket, but The teenager boy that had a few already...More"
"75","rn500271930","Reviewed July 10, 2017 "," Rawai","Green Tamarind Kitchen","Just get in there , this guy is a legend . Best burger we had in a long time. You will not be disappointed . Keep up the good work guys
Cheers"
"76","rn499893017","Reviewed July 9, 2017 "," Rawai","Green Tamarind Kitchen","Reliably good burgers. Big and hearty. Tasted a few varieties and all were good. Very popular & chef keeps up admirably. Good value. Recommend."
"77","rn498172911","Reviewed July 3, 2017 "," Rawai","Green Tamarind Kitchen","Frequent visits from US, this place have the BEST Burgers in Phuket.
The perfect seasoned Burgers in town."
"78","rn496535976","Reviewed June 27, 2017 "," Rawai","Green Tamarind Kitchen","Cheeseburger was just awesome. They cook the beef just right in front of you, and somehow you can tell it's going to be great. Juicy, tender and cheese melted to perfection. Just finished travelling from London and HK and this beats burgers that I've had...More"
"79","rn495842688","Reviewed June 25, 2017 "," Rawai","Green Tamarind Kitchen","Found this great little place on Trip Advisor, called them up and 15 min later we had collected what has got to be the best burger I have had in months.
Had the Hawain 10/10
Will be back"
"80","rn495815504","Reviewed June 25, 2017 "," Rawai","Green Tamarind Kitchen","This restaurant serves the best thai food I have ever had with the most amazing burgers as well. The service is fast and the prices are reasonable. Great value for money and friendly staff. LOVE this place."
"81","rn495746107","Reviewed June 24, 2017 "," Rawai","Green Tamarind Kitchen","Came here hungry and ordered a bacon cheeseburger with caramelized and was blown away by the quality of my meal. Burger was cooked to perfection and bacon was crispy and delicious, with the caramelized onions adding a perfect sweetness. Prices reasonable for the quality and...More"
"82","rn495611868","Reviewed June 24, 2017 "," Rawai","Green Tamarind Kitchen","I just had dinner here and it was superb! I was currently not in a good mood when we came here and it Made my bad mood go away! Thanks guys!
I ordered bacon burger... It was fantastic! Worth my holiday visit. Good food guys!...More"
"83","rn495530706","Reviewed June 23, 2017 "," Rawai","Green Tamarind Kitchen","Absolutely love Thai food but after a week of Thai food needed a change so came here as the burgers were recommended.
Superb burger for a great price.
Only complaint is the burger is soooo big it is difficult to eat.... but found a way."
"84","rn490964333","Reviewed June 6, 2017 "," Rawai","Green Tamarind Kitchen","Not often in California do I find a decent veggie burger but to say I found the BEST veggie burger in Thailand is even better! My boyfriend and I found this place through trip advisor and I'm so glad we did! It was incredible and...More"
"85","rn490018596","Reviewed June 2, 2017 "," Rawai","Green Tamarind Kitchen","If you want a great burger, this is the place! One of the best burgers I have ever tried and my sister and brother in law felt the same. Highly recommended!"
"86","rn489539329","Reviewed June 1, 2017 "," Rawai","Green Tamarind Kitchen","May the Gods of everything Burger rain down blessings and prosperity to this little joint!!
Single fella stood by a ""CHARCOAL"" BBQ with nothing more than imported beef patties sizzling away!!!
My wife hit the nail on the head when she said ""these are burgers...More"
"87","rn487021246","Reviewed May 23, 2017 "," Rawai","Green Tamarind Kitchen","Best burger we have had around the world good Thai food Swiss owner is flat out cooking burgers to your needs great place"
"88","rn486011523","Reviewed May 20, 2017 "," Rawai","Green Tamarind Kitchen","This review of this fantastic restaurant in Rawai/Naiharn Area Phuket is long long overdue.
Living and working now over 1 year in Phuket we have been to countless other restaurants and have tried it all.
If you fancy a tasty mouthwatering delicious Burger (look no...More"
"89","rn484296829","Reviewed May 15, 2017 "," Rawai","Green Tamarind Kitchen","This place makes Simply the best Burgers in the World.
What more can be said?
Just make sure your really hungry to appreciate these burgers."
"90","rn482014867","Reviewed May 6, 2017 "," Rawai","Green Tamarind Kitchen","We have been in this restaurant several times, tried different burgers and every time it was really delicious. Very juicy meat and fresh vegetables. If you love something lighter take an ordinary hamburger. If something more interesting take bacon cheeseburger or burger with beetroot and...More"
"91","rn581330980","Reviewed yesterday "," Karon Beach","EAT. bar & grill","I was excited to finally come here and try their food, the pictures looked great. The ambiance is decent and the service is fine, however, they gave me the worst burger I've had in over a decade. The patty, the quality of meat they used...More"
"92","rn575630557","Reviewed 3 weeks ago "," Karon Beach","EAT. bar & grill","Burgers were good. Meat is high quality but could do with a bit more flavour.
French fries arent good. Too thick and not enough flavour.
Service is excellent.More"
"93","rn574648482","Reviewed 4 weeks ago "," Karon Beach","EAT. bar & grill","We came across EAT 3 days before we were due to leave Phuket. In those short 3 days we visited EAT 3 more times! The food is extremely delicious. We absolutely loved the black angus burgers. As South Africans, we like to think we know...More"
"94","rn572443311","Reviewed April 10, 2018 "," Karon Beach","EAT. bar & grill","Quite simply the best chateaubriand I’ve EVER eaten!
The service was fantastic and the food was deserved of the high score on trip advisor.
Would definitely recommend this place to all meat lovers (the burgers looked amazing too!). Enjoy.More"
"95","rn571629938","Reviewed April 7, 2018 "," Karon Beach","EAT. bar & grill","Perfectly cooked and very delicious, flavourful burgers for lunch. Mango shake and lemon shakes also excellent.
A really friendly and funny waiter helped us make our selection... Will come back again for sure.
Thanks for a great lunch!
Michelle & MikeMore"
"96","rn570757047","Reviewed April 3, 2018 "," Karon Beach","EAT. bar & grill","We have some amazing steak in Melbourne Australia, but I have to say this steak almost beats any steak we have had back home..
We had the burger, kids meal (with steak) and steak. The burger was on par with the best I've eaten and...More"
"97","rn569473737","Reviewed March 29, 2018 "," Karon Beach","EAT. bar & grill","This place has an excellent selection of beef! They have five star food but a more casual feel. I was craving a burger.. so burned out on Thai food. Every place that offered American food didn’t get it quite right. I prayed for a delicious...More"
"98","rn569391724","Reviewed March 28, 2018 "," Karon Beach","EAT. bar & grill","By Pure luck we Managed to get a table without booking .
It's easy to see why this place is highly rated & popular the burgers are amazingly large cooked perfect to your liking.
They also have Strong IPA on draft what a bonus.
The...More"
"99","rn568288513","Reviewed March 23, 2018 "," Karon Beach","EAT. bar & grill","After three weeks in Karon we tought we should try a good old burger. The place is higher priced than other places, so we though it must be very good.
What a disapointment; we ordered the same burger; one more done than the other; medium...More"
"100","rn568200529","Reviewed March 22, 2018 "," Karon Beach","EAT. bar & grill","Good piace for the meet.
We tridente hamburger and was fantastic.
The piace is not so big so i suggest to book.
Good choice of drink
The service is vero good.More"
"101","rn567518578","Reviewed March 19, 2018 "," Karon Beach","EAT. bar & grill","This restaurant is amazing, food is to die for! burgers are so yummy. Staff are very friendly. Great service :)
I recommend this restaurant to anyone who comes to Karon beach!"
"102","rn564520298","Reviewed March 4, 2018 "," Karon Beach","EAT. bar & grill","Burger and the wagyu steak both are awesome very tasty and juicy, French fries also very nice. Service very friendly.More"
"103","rn564448792","Reviewed March 4, 2018 "," Karon Beach","EAT. bar & grill","Had an amazing burger here! The meat cooked rare is so good and the caramelised onions are to die for! Also the garlic potatoes are unreal. The cocktails were also really good. The staff were so friendly and attentive and the owner makes an effort...More"
"104","rn562832644","Reviewed February 25, 2018 "," Karon Beach","EAT. bar & grill","We were s company with 18 people visiting the restaurant together. From the first second we got fast and great service.
The meny offers great meat dishes with very high quality. I ordered a burger with french fries, it was nicely served and tasted delicious!...More"
"105","rn558937909","Reviewed February 6, 2018 "," Karon Beach","EAT. bar & grill","Really great burgers, great fries, great cocktails, fantastic service. Definitely recommended.
Charming little place off a busy street where you can enjoy welcome air conditioning. They have expensive menu options, mostly meats, but also very reasonable and tasty options. Well worth the walk.More"
"106","rn557254978","Reviewed January 29, 2018 "," Karon Beach","EAT. bar & grill","Great food and service. Had an Angus burger. Great meat and perfectly cooked served with classic sides.More"
"107","rn557062077","Reviewed January 29, 2018 "," Karon Beach","EAT. bar & grill","Great garlic bread, burger was very juicy, tasty pasta and the mojito was amazing! (recommend getting a bucket!)More"
"108","rn551654672","Reviewed January 4, 2018 "," Karon Beach","EAT. bar & grill","When we arrived there was a notice that they were out of meat for the angus burger, but we decided to try it out. We got the pesto chicken salad and the beef penne. My boyfriend said the beef penne was the best meal he's...More"
"109","rn550791623","Reviewed January 1, 2018 "," Karon Beach","EAT. bar & grill","My wife had already scoped this place out on tripadvisor before we went, and I had looked at the menu and was looking forward to their burgers!
Not knowing exactly where it was from our hotel, we jumped on a tuktuk or Phuket’s equivalent.
We...More"
"110","rn550766196","Reviewed January 1, 2018 "," Karon Beach","EAT. bar & grill","We were in the mood for burgers after many nights of thai food and this place not only hit the spot, it below us away.
The burgers are amazing, the service was great and the have good beer options.
Good to know: when you order...More"
"111","rn575586561","Reviewed 3 weeks ago "," Choeng Thale","Benny's American Bar & Grill","What a great find in this area. The food is absolutely first class. I can personally recommend the goats cheese starter and the burgers are to die for. My son had the fish cakes to start and the roast chicken for his main, both were...More"
"112","rn562033161","Reviewed February 21, 2018 "," Choeng Thale","Benny's American Bar & Grill","What’s not to like about Benny’s. This time we tried the hamburgers and were not disappointed. They were presented appealingly, meat cooked to perfection, and tasted delicious. We all agreed portion sizes were perfect. The expertly mixed cocktails were so good that they led to...More"
"113","rn540301494","Reviewed November 11, 2017 "," Choeng Thale","Benny's American Bar & Grill","The ribs here are delicious. Doesn't open until 6pm and closes around midnight. Friendly service and a variety of food . Try the burger you will love it."
"114","rn532612644","Reviewed October 13, 2017 "," Choeng Thale","Benny's American Bar & Grill","Great place. I went to Benny's because i heard a lot about it. I wasn't disappointed the food is great and the staff is very friendly. I loved everything, especially the burger, one of the best i have ever tried. Going to back soon."
"115","rn530693565","Reviewed October 6, 2017 "," Choeng Thale","Benny's American Bar & Grill","This was the first night of our holiday where we treated ourselves to western food - and we didn't regret it! My dad had the steak and really enjoyed it and I loved their burger - very high quality. The only thing stopping me from...More"
"116","rn512570622","Reviewed August 14, 2017 "," Choeng Thale","Benny's American Bar & Grill","My family and walked from the Surin Resort to Benny's for dinner. It's a small open air restaurant across from the Deep Relax Spa. Everything we had was delicious with the exception of the Tuna Tartar. The burgers were wonderful and the duck fat fries...More"
"117","rn499269173","Reviewed July 6, 2017 "," Choeng Thale","Benny's American Bar & Grill","One of our local favorites in Phuket...excellent food and proper cocktails to match. (They have a real mixologist...use big ice etc.)
Been here many times and never disappointed...the burger, ribs, lamb, flank steak, French fries cooked in duck fat, fish specials...all great!
Nice vibe with...More"
"118","rn495852218","Reviewed June 25, 2017 "," Choeng Thale","Benny's American Bar & Grill","Well....I love a burger!! I've just had close to the best I've ever had!! My wife went for the Australian tenderloin.... it was superb!! Bene the owner and the staff are so courteous and attentive.....can't recommend highly enough.....only thing is a pity the don't open...More"
"119","rn470975591","Reviewed March 28, 2017 "," Choeng Thale","Benny's American Bar & Grill","Great little place, which provides an awesome change from Thai food. Great cocktails to start and the beef cheese burger and duck fat fries were awesome."
"120","rn580711585","Reviewed 4 days ago "," Patong","Climax on Bangla","Come back to my favorite place for lunch. My lamb burger so tasty and music so nice. Kai, Nam and Poppy so friendly.More"
"121","rn565275498","Reviewed March 8, 2018 "," Patong","Climax on Bangla","As other reviews have said, it’s hard to find but totally worth it. Go past Tiger Disco towards the beach and then turn left down the alley opposite Burger King. It still won’t be obvious, but go right to the end and you’ll see Absolute...More"
"122","rn553703532","Reviewed January 14, 2018 "," Patong","Climax on Bangla","We came here to have dinner and were really happy. Ordered burgers and they were great. Also had many cocktails and to our surprise, they had happy hour, so the price was good too! Also they gave us complimentary dessert for no reason. Staff was...More"
